sim_swap_time_gap_minutes,device_change_flag,sim_type_change_flag,imsi_change_flag,iccid_change_flag,otp_and_sim_change_geo_hash_length,recent_sim_activation_days,num_sim_changes_last_30d,previous_sim_holder_tenure_days,account_age_days,ip_change_flag,sim_swap_flag
9932,1,1,0,1,0.41,237,0,917,1623,1,1
2577,0,0,0,1,0.02,271,0,595,75,0,0
8856,1,1,0,1,0.82,61,0,419,905,0,1
5958,1,1,1,0,0.03,207,2,310,226,1,1
4993,1,1,1,0,0.85,168,0,268,818,1,1
5019,1,0,1,0,0.75,365,4,715,1526,1,1
3077,0,1,1,0,0.46,226,2,408,668,1,1
7438,1,0,0,0,0.93,150,4,758,529,0,0
538,1,0,1,1,0.89,144,3,1083,1791,0,1
9665,1,1,0,1,0.61,323,0,348,1346,1,1
1467,1,0,1,0,0.4,219,4,618,33,1,1
485,0,1,0,0,0.85,261,2,643,1297,1,1
2127,1,0,1,0,0.34,17,5,402,589,0,1
6849,0,0,0,1,0.25,116,0,1079,1073,0,0
7668,0,0,0,0,0.48,56,0,901,1224,1,0
7611,1,1,0,1,0.61,267,5,605,1664,0,1
6038,0,0,0,1,0.89,240,0,596,1434,0,0
6634,1,1,0,1,0.16,216,4,160,1202,0,1
7331,0,0,0,0,0.84,74,3,1000,1560,0,0
7010,0,1,0,0,0.51,148,5,821,1755,0,0
8196,0,0,0,1,0.06,94,5,43,1120,0,0
8791,1,1,0,1,0.46,72,2,191,1506,0,1
2413,0,1,0,1,0.42,108,4,782,191,0,1
2779,0,0,0,0,0.16,224,2,196,117,1,0
7410,1,1,1,1,0.64,48,5,641,750,0,1
4155,1,0,0,0,0.83,115,0,11,1586,0,0
8128,0,1,1,1,0.05,224,1,342,714,1,1
1276,0,1,1,0,0.91,0,2,1045,44,0,1
8980,1,1,0,1,0.19,240,0,448,318,1,1
7777,0,1,0,1,0.13,112,3,786,1416,0,1
946,0,1,0,0,0.3,137,3,469,547,0,1
5258,1,0,0,1,0.54,59,0,795,147,0,1
2623,0,0,0,1,0.39,61,4,183,958,1,1
3518,0,1,0,1,0.76,124,4,204,1290,1,1
5410,1,1,1,0,0.57,308,5,130,1161,0,1
4708,1,1,1,1,0.39,35,1,319,40,1,1
6863,1,1,1,0,0.43,104,2,290,1517,0,1
5749,0,0,1,1,0.67,12,2,937,832,0,1
1813,1,0,0,0,0.39,221,5,896,1323,0,0
8201,0,0,1,1,0.98,140,0,13,1642,1,1
2058,1,0,0,0,0.22,9,2,403,316,1,1
1177,1,0,1,0,0.67,281,2,280,1642,1,1
3401,0,1,1,1,0.24,179,1,512,1753,0,1
6874,1,1,1,0,0.08,363,5,66,1701,1,1
1432,0,1,0,1,0.6,332,5,688,259,0,1
4838,0,1,0,0,0.94,322,0,142,1291,0,0
6590,1,1,0,1,0.68,159,3,735,1226,1,1
248,1,0,1,0,0.04,244,3,856,50,1,1
231,1,1,0,1,0.87,354,3,1067,1414,0,1
8707,1,1,1,1,0.62,313,5,896,988,0,1
1058,1,0,1,0,0.46,288,4,428,637,0,1
3159,1,0,1,0,0.46,264,5,286,796,0,1
7661,0,1,0,1,0.81,27,4,513,1346,1,1
503,0,0,1,1,0.68,265,4,140,51,1,1
9215,0,1,0,1,0.09,106,0,267,1707,1,1
